route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,NJB,1,Newark,3,,
10,NJB,111,New York - IKEA - Jersey Gardens,3,,
100,NJB,361,Newark - Ivy Hill Express,3,,
101,NJB,37,Lyons Avenue,3,,
102,NJB,375,Springfield Avenue Express,3,,
103,NJB,378,Newark - UPS Secaucus Express,3,,
104,NJB,39,Irvington - Newark,3,,
105,NJB,390,Northern Division Mail Truck,3,,
106,NJB,394,NY 38th St. Lot Man,3,,
107,NJB,395,40th Lot Man for Howell,3,,
108,NJB,399,Southern Division Mail Truck,3,,
109,NJB,40,Kearny - Jersey Gardens,3,,
11,NJB,112,Clark - New York,3,,
110,NJB,400,Sicklerville  - Philadelphia,3,,
111,NJB,401,Salem - Philadelphia,3,,
112,NJB,402,Pennsville - Philadelphia,3,,
113,NJB,403,Camden - Lindenwold PATCO - Turnersville,3,,
114,NJB,404,Cherry Hill Mall - Pennsauken - Philadelphia,3,,
115,NJB,405,Camden - Merchantville - Cherry Hill Mall,3,,
116,NJB,406,Berlin - Marlton - Philadelphia,3,,
117,NJB,407,Camden - Merchantville - Moorestown Mall,3,,
118,NJB,408,Millville - Philadelphia,3,,
119,NJB,409,Trenton - Willingboro - Philadelphia,3,,
12,NJB,113,Dunellen - New York,3,,
120,NJB,41,Park Avenue,3,,
121,NJB,410,Bridgeton - Philadelphia,3,,
122,NJB,412,Sewell - Glassboro - Philadelphia,3,,
123,NJB,413,Camden - Mt. Holly - Florence,3,,
124,NJB,414,Philadelphia - Moorestown,3,,
125,NJB,417,Willingboro Express,3,,
126,NJB,418,Trenton Express,3,,
127,NJB,419,Camden-Pennsauken Transit Center-Riverside,3,,
128,NJB,450,Cherry Hill Mall - Audubon -Camden,3,,
129,NJB,451,Camden-Voorhees Town Center,3,,
13,NJB,114,Bridgewater - New York,3,,
130,NJB,452,Camden - 36th St. Station,3,,
131,NJB,453,Ferry Avenue PATCO - Camden,3,,
132,NJB,455,Cherry Hill Mall-Woodbury-Paulsboro,3,,
133,NJB,457,Moorestown Mall - Camden,3,,
134,NJB,459,Voorhees Town Ctr-Camden County Coll.-Avandale P/R,3,,
135,NJB,463,Woodbury - Avandale Park/Ride,3,,
136,NJB,468,Penns Grove - Salem - Woodstown,3,,
137,NJB,48,Elizabeth - Woodbridge - Perth Amboy,3,,
138,NJB,480,Standy-by Extras,3,,
139,NJB,5,Kinney,3,,
14,NJB,115,Rahway - New York,3,,
140,NJB,501,Atlantic City - Brigantine Beach,3,,
141,NJB,502,Atlantic City - Hamilton Mall - Atlantic/Cape C. C,3,,
142,NJB,504,Atlantic City - Ventnor Plaza - Margate,3,,
143,NJB,505,Atlantic City-Margate-Longport,3,,
144,NJB,507,Atlantic City - Ocean City,3,,
145,NJB,508,Atlantic City-Stockton College-Hamilton Mall,3,,
146,NJB,509,Atlantic City-Somers Point-Ocean City via New Road,3,,
147,NJB,510,510,3,,
148,NJB,52,Morris Avenue,3,,
149,NJB,526,38th St. Taxi Fairview,3,,
15,NJB,116,Perth Amboy - New York,3,,
150,NJB,529,Morris Metro Pull in to Pumps,3,,
151,NJB,530,Weekawken Taxi Oradell,3,,
152,NJB,531,Weehawken Taxi Westwood,3,,
153,NJB,532,Weehawken Taxi Wayne,3,,
154,NJB,534,Weehawken Taxi Ironbound 113/116,3,,
155,NJB,535,Weehawken Taxi Ironbound 114/117,3,,
156,NJB,539,Weehawken Taxi Howell,3,,
157,NJB,551,Philadelphia-Atlantic City,3,,
158,NJB,552,Cape May - Atlantic City,3,,
159,NJB,553,Upper Deerfield - Atlantic City,3,,
16,NJB,117,Somerville - New York Express,3,,
160,NJB,554,Lindenwold - PATCO - Atlantic City,3,,
161,NJB,555,Avandale-30th Street Philadelphia,3,,
162,NJB,559,Lakewood - Atlantic City,3,,
163,NJB,56,Elizabeth - Winfield,3,,
164,NJB,57,Tremley,3,,
165,NJB,58,Elizabeth - Kenilworth,3,,
166,NJB,59,Plainfield - Newark,3,,
167,NJB,6,Ocean Avenue - Journal Square,3,,
168,NJB,600,Trenton- Plainsboro (US 1 Corridor),3,,
169,NJB,601,College of New Jersey-Trenton-Hamilton Marketplace,3,,
17,NJB,119,Bayonne - Jersey City - New York,3,,
170,NJB,603,Mercer Mall-Hamilton Square-Hamilton Marketplace,3,,
171,NJB,605,Montgomery - Princeton - Quaker Bridge Mall,3,,
172,NJB,606,Princeton - Mercerville - Hamilton Marketplace,3,,
173,NJB,607,Ewing - Trenton - Independence Plaza,3,,
174,NJB,608,Hamilton - Ewing,3,,
175,NJB,609,Ewing-Quaker Bridge Mall,3,,
176,NJB,610,Trenton Seasonal,3,,
177,NJB,611,Trenton-River View Plaza Circulator,3,,
178,NJB,612,Lawrence-West Windsor-Princeton Jct. Rail Sta.,3,,
179,NJB,613,Mercer Mall-Yardville- Hamilton Marketplace,3,,
18,NJB,120,Bayonne - New York Downtown,3,,
180,NJB,619,Ewing - Mercer County College,3,,
