service_id,date,exception_type
1,20231007,1
1,20231008,1
1,20231014,1
1,20231015,1
1,20231021,1
1,20231022,1
1,20231028,1
1,20231029,1
1,20231104,1
1,20231105,1
1,20231111,1
1,20231112,1
1,20231118,1
1,20231119,1
1,20231123,1
1,20231124,1
1,20231125,1
1,20231126,1
1,20231202,1
1,20231203,1
1,20231209,1
1,20231210,1
1,20231216,1
1,20231217,1
1,20231223,1
1,20231224,1
1,20231225,1
1,20231230,1
1,20231231,1
1,20240101,1
1,20240106,1
1,20240107,1
1,20240113,1
1,20240114,1
1,20240115,1
1,20240120,1
1,20240121,1
1,20240127,1
1,20240128,1
1,20240203,1
1,20240204,1
1,20240210,1
1,20240211,1
1,20240217,1
1,20240218,1
1,20240219,1
1,20240224,1
1,20240225,1
1,20240302,1
1,20240303,1
1,20240309,1
1,20240310,1
1,20240316,1
1,20240317,1
1,20240323,1
1,20240324,1
2,20231002,1
2,20231003,1
2,20231004,1
2,20231005,1
2,20231006,1
2,20231009,1
2,20231010,1
2,20231011,1
2,20231012,1
2,20231013,1
2,20231016,1
2,20231017,1
2,20231018,1
2,20231019,1
2,20231020,1
2,20231023,1
2,20231024,1
2,20231025,1
2,20231026,1
2,20231027,1
2,20231030,1
2,20231031,1
2,20231101,1
2,20231102,1
2,20231103,1
2,20231106,1
2,20231107,1
2,20231108,1
2,20231109,1
2,20231110,1
2,20231113,1
2,20231114,1
2,20231115,1
2,20231116,1
2,20231117,1
2,20231120,1
2,20231121,1
2,20231122,1
2,20231127,1
2,20231128,1
2,20231129,1
2,20231130,1
2,20231201,1
2,20231211,1
2,20231212,1
2,20231213,1
2,20231214,1
2,20231215,1
2,20231218,1
2,20231219,1
2,20231220,1
2,20231221,1
2,20231222,1
2,20231226,1
2,20231227,1
2,20231228,1
2,20231229,1
2,20240102,1
2,20240103,1
2,20240104,1
2,20240105,1
2,20240108,1
2,20240109,1
2,20240110,1
2,20240111,1
2,20240112,1
2,20240116,1
2,20240117,1
2,20240118,1
2,20240119,1
2,20240122,1
2,20240123,1
2,20240124,1
2,20240125,1
2,20240126,1
2,20240129,1
2,20240130,1
2,20240131,1
2,20240201,1
2,20240202,1
2,20240205,1
2,20240206,1
2,20240207,1
2,20240208,1
2,20240209,1
2,20240212,1
2,20240213,1
2,20240214,1
2,20240215,1
2,20240216,1
2,20240220,1
2,20240221,1
2,20240222,1
2,20240223,1
2,20240226,1
2,20240227,1
2,20240228,1
2,20240229,1
2,20240301,1
2,20240304,1
2,20240305,1
2,20240306,1
2,20240307,1
2,20240308,1
2,20240311,1
2,20240312,1
2,20240313,1
2,20240314,1
2,20240315,1
2,20240318,1
2,20240319,1
2,20240320,1
2,20240321,1
2,20240322,1
2,20240325,1
2,20240326,1
2,20240327,1
2,20240328,1
2,20240329,1
3,20231204,1
3,20231205,1
3,20231206,1
3,20231207,1
3,20231208,1
4,20231007,1
4,20231008,1
4,20231014,1
4,20231015,1
4,20231021,1
4,20231022,1
4,20231028,1
4,20231029,1
4,20231104,1
4,20231105,1
4,20231111,1
4,20231112,1
4,20231118,1
4,20231119,1
4,20231123,1
4,20231124,1
4,20231125,1
4,20231126,1
4,20231202,1
4,20231209,1
4,20231210,1
4,20231216,1
4,20231217,1
4,20231223,1
4,20231224,1
4,20231225,1
4,20231230,1
4,20231231,1
4,20240101,1
4,20240106,1
4,20240107,1
4,20240113,1
4,20240114,1
4,20240115,1
4,20240120,1
4,20240121,1
4,20240127,1
4,20240128,1
4,20240203,1
4,20240204,1
4,20240210,1
4,20240211,1
4,20240217,1
4,20240218,1
4,20240219,1
4,20240224,1
4,20240225,1
4,20240302,1
4,20240303,1
4,20240309,1
4,20240310,1
4,20240316,1
4,20240317,1
4,20240323,1
4,20240324,1
5,20231203,1
6,20231002,1
7,20231124,1
7,20240115,1
7,20240219,1
8,20231002,1
8,20231003,1
8,20231004,1
8,20231005,1
8,20231006,1
8,20231009,1
8,20231010,1
8,20231011,1
8,20231012,1
8,20231013,1
8,20231016,1
8,20231017,1
8,20231018,1
8,20231019,1
8,20231020,1
8,20231023,1
8,20231024,1
8,20231025,1
8,20231026,1
8,20231027,1
8,20231030,1
8,20231031,1
8,20231101,1
8,20231102,1
8,20231103,1
8,20231106,1
8,20231107,1
8,20231108,1
8,20231109,1
8,20231110,1
8,20231113,1
8,20231114,1
8,20231115,1
8,20231116,1
8,20231117,1
8,20231120,1
8,20231121,1
8,20231122,1
8,20231127,1
8,20231128,1
8,20231129,1
8,20231130,1
8,20231201,1
8,20231204,1
8,20231207,1
8,20231208,1
8,20231211,1
8,20231212,1
8,20231213,1
8,20231214,1
8,20231215,1
8,20231218,1
8,20231219,1
8,20231220,1
8,20231221,1
8,20231222,1
8,20231226,1
8,20231227,1
8,20231228,1
8,20231229,1
8,20240102,1
8,20240103,1
8,20240104,1
8,20240105,1
8,20240108,1
8,20240109,1
8,20240110,1
8,20240111,1
8,20240112,1
8,20240116,1
8,20240117,1
8,20240118,1
8,20240119,1
8,20240122,1
8,20240123,1
8,20240124,1
8,20240125,1
8,20240126,1
8,20240129,1
8,20240130,1
8,20240131,1
8,20240201,1
8,20240202,1
8,20240205,1
8,20240206,1
8,20240207,1
8,20240208,1
8,20240209,1
8,20240212,1
8,20240213,1
8,20240214,1
8,20240215,1
8,20240216,1
8,20240220,1
8,20240221,1
8,20240222,1
8,20240223,1
8,20240226,1
8,20240227,1
8,20240228,1
8,20240229,1
8,20240301,1
8,20240304,1
8,20240305,1
8,20240306,1
8,20240307,1
8,20240308,1
8,20240311,1
8,20240312,1
8,20240313,1
8,20240314,1
8,20240315,1
8,20240318,1
8,20240319,1
8,20240320,1
8,20240321,1
8,20240322,1
8,20240325,1
8,20240326,1
8,20240327,1
8,20240328,1
8,20240329,1
9,20231206,1
10,20231231,1
11,20231007,1
11,20231008,1
11,20231014,1
11,20231015,1
11,20231021,1
11,20231022,1
11,20231028,1
11,20231029,1
11,20231104,1
11,20231105,1
11,20231111,1
11,20231112,1
11,20231118,1
11,20231119,1
11,20231123,1
11,20231125,1
11,20231126,1
11,20231202,1
11,20231203,1
11,20231209,1
11,20231210,1
11,20231216,1
11,20231217,1
11,20231223,1
11,20231224,1
11,20231225,1
11,20231230,1
11,20231231,1
11,20240101,1
11,20240106,1
11,20240107,1
11,20240113,1
11,20240114,1
11,20240120,1
11,20240121,1
11,20240127,1
11,20240128,1
11,20240203,1
11,20240204,1
11,20240210,1
11,20240211,1
11,20240217,1
11,20240218,1
11,20240224,1
11,20240225,1
11,20240302,1
11,20240303,1
11,20240309,1
11,20240310,1
11,20240316,1
11,20240317,1
11,20240323,1
11,20240324,1
12,20231205,1
13,20231205,1
13,20231206,1
14,20240101,1
15,20231007,1
15,20231008,1
15,20231014,1
15,20231015,1
15,20231021,1
15,20231022,1
15,20231028,1
15,20231029,1
15,20231104,1
15,20231105,1
15,20231111,1
15,20231112,1
15,20231118,1
15,20231119,1
15,20231123,1
15,20231124,1
15,20231125,1
15,20231126,1
15,20231202,1
15,20231203,1
15,20231209,1
15,20231210,1
15,20231216,1
15,20231217,1
15,20231223,1
15,20231224,1
15,20231225,1
15,20231230,1
15,20240101,1
15,20240106,1
15,20240107,1
15,20240113,1
15,20240114,1
15,20240115,1
15,20240120,1
15,20240121,1
15,20240127,1
15,20240128,1
15,20240203,1
15,20240204,1
15,20240210,1
15,20240211,1
15,20240217,1
15,20240218,1
15,20240219,1
15,20240224,1
15,20240225,1
15,20240302,1
15,20240303,1
15,20240309,1
15,20240310,1
15,20240316,1
15,20240317,1
15,20240323,1
15,20240324,1
16,20231007,1
16,20231009,1
16,20231014,1
16,20231021,1
16,20231028,1
16,20231104,1
16,20231111,1
16,20231118,1
16,20231125,1
16,20231202,1
16,20231209,1
16,20231216,1
16,20231223,1
16,20231230,1
16,20240106,1
16,20240113,1
16,20240120,1
16,20240127,1
16,20240203,1
16,20240210,1
16,20240217,1
16,20240224,1
16,20240302,1
16,20240309,1
16,20240316,1
16,20240323,1
17,20231008,1
17,20231015,1
17,20231022,1
17,20231029,1
17,20231105,1
17,20231112,1
17,20231119,1
17,20231126,1
17,20231203,1
17,20231210,1
17,20231217,1
17,20231224,1
17,20231231,1
17,20240107,1
17,20240114,1
17,20240121,1
17,20240128,1
17,20240204,1
17,20240211,1
17,20240218,1
17,20240225,1
17,20240303,1
17,20240310,1
17,20240317,1
17,20240324,1
18,20231002,1
18,20231003,1
18,20231004,1
18,20231005,1
18,20231006,1
18,20231010,1
18,20231011,1
18,20231012,1
18,20231013,1
18,20231016,1
18,20231017,1
18,20231018,1
18,20231019,1
18,20231020,1
18,20231023,1
18,20231024,1
18,20231025,1
18,20231026,1
18,20231027,1
18,20231030,1
18,20231031,1
18,20231101,1
18,20231102,1
18,20231103,1
18,20231106,1
18,20231107,1
18,20231108,1
18,20231109,1
18,20231110,1
18,20231113,1
18,20231114,1
18,20231115,1
18,20231116,1
18,20231117,1
18,20231120,1
18,20231121,1
18,20231122,1
18,20231123,1
18,20231124,1
18,20231127,1
18,20231128,1
18,20231129,1
18,20231130,1
18,20231201,1
18,20231204,1
18,20231205,1
18,20231206,1
18,20231207,1
18,20231208,1
18,20231211,1
18,20231212,1
18,20231213,1
18,20231214,1
18,20231215,1
18,20231218,1
18,20231219,1
18,20231220,1
18,20231221,1
18,20231222,1
18,20231225,1
18,20231226,1
18,20231227,1
18,20231228,1
18,20231229,1
18,20240101,1
18,20240102,1
18,20240103,1
18,20240104,1
18,20240105,1
18,20240108,1
18,20240109,1
18,20240110,1
18,20240111,1
18,20240112,1
18,20240115,1
18,20240116,1
18,20240117,1
18,20240118,1
18,20240119,1
18,20240122,1
18,20240123,1
18,20240124,1
18,20240125,1
18,20240126,1
18,20240129,1
18,20240130,1
18,20240131,1
18,20240201,1
18,20240202,1
18,20240205,1
18,20240206,1
18,20240207,1
18,20240208,1
18,20240209,1
18,20240212,1
18,20240213,1
18,20240214,1
18,20240215,1
18,20240216,1
18,20240219,1
18,20240220,1
18,20240221,1
18,20240222,1
18,20240223,1
18,20240226,1
18,20240227,1
18,20240228,1
18,20240229,1
18,20240301,1
18,20240304,1
18,20240305,1
18,20240306,1
18,20240307,1
18,20240308,1
18,20240311,1
18,20240312,1
18,20240313,1
18,20240314,1
18,20240315,1
18,20240318,1
18,20240319,1
18,20240320,1
18,20240321,1
18,20240322,1
18,20240325,1
18,20240326,1
18,20240327,1
18,20240328,1
18,20240329,1
19,20231006,1
19,20231007,1
19,20231013,1
19,20231014,1
19,20231020,1
19,20231021,1
19,20231027,1
19,20231028,1
19,20231103,1
19,20231104,1
19,20231110,1
19,20231111,1
19,20231117,1
19,20231118,1
19,20231122,1
19,20231123,1
19,20231124,1
19,20231125,1
19,20231201,1
19,20231202,1
19,20231208,1
19,20231209,1
19,20231215,1
19,20231216,1
19,20231222,1
19,20231223,1
19,20231224,1
19,20231229,1
19,20231230,1
19,20231231,1
19,20240105,1
19,20240106,1
19,20240112,1
19,20240113,1
19,20240114,1
19,20240119,1
19,20240120,1
19,20240126,1
19,20240127,1
19,20240202,1
19,20240203,1
19,20240209,1
19,20240210,1
19,20240216,1
19,20240217,1
19,20240218,1
19,20240223,1
